INFO 2025-03-10 11:29:29,648 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-10 11:29:29,944 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/urllib3/http2/probe.py first seen with mtime 1727769978.1337981
DEBUG 2025-03-10 11:29:29,944 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_passport/credentials.py first seen with mtime 1737433109.0531344
DEBUG 2025-03-10 11:29:29,944 autoreload File /Users/aruka/miniconda3/lib/python3.12/asyncio/transports.py first seen with mtime 1733935669.119002
DEBUG 2025-03-10 11:29:29,944 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/http/multipartparser.py first seen with mtime 1741546736.8383532
DEBUG 2025-03-10 11:29:29,944 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rich/box.py first seen with mtime 1738003396.1427789
DEBUG 2025-03-10 11:29:29,944 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_chatmemberupdated.py first seen with mtime 1737433109.0421724
DEBUG 2025-03-10 11:29:29,944 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/drf_spectacular/contrib/rest_auth.py first seen with mtime 1737433109.287242
DEBUG 2025-03-10 11:29:29,944 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/coreapi/document.py first seen with mtime 1737433109.026796
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/uritemplate/api.py first seen with mtime 1737433107.6292527
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/asyncio/tasks.py first seen with mtime 1733935669.1057136
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/db/models/constants.py first seen with mtime 1741546736.826828
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/utils/dateparse.py first seen with mtime 1741546736.8449976
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_files/_basemedium.py first seen with mtime 1737433109.0474539
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/unittest/case.py first seen with mtime 1733935673.079719
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/utils/cache.py first seen with mtime 1741546736.8445299
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/lib-dynload/_multibytecodec.cpython-312-darwin.so first seen with mtime 1733935714.2247403
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/psycopg/_conninfo_attempts.py first seen with mtime 1737620296.4401124
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/rest_framework/checks.py first seen with mtime 1737622563.845756
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/h11/_state.py first seen with mtime 1737433107.8208983
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/anyio/abc/_subprocesses.py first seen with mtime 1737433108.8469164
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/mimetypes.py first seen with mtime 1733935668.5815737
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/psycopg/_pipeline.py first seen with mtime 1737620296.4412837
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/charset_normalizer/constant.py first seen with mtime 1721748372.0661995
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/asyncio/__init__.py first seen with mtime 1733935668.983432
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/utils/encoding.py first seen with mtime 1741546736.845518
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/db/models/signals.py first seen with mtime 1741546736.8280454
DEBUG 2025-03-10 11:29:29,945 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/psycopg/types/enum.py first seen with mtime 1737620296.45259
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/yaml/constructor.py first seen with mtime 1728658265.4359207
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/contrib/sites/requests.py first seen with mtime 1741546736.7905533
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/telegram/_payment/stars/__init__.py first seen with mtime 1737433109.0548856
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/db/models/fields/__init__.py first seen with mtime 1741546736.8283172
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/encodings/idna.py first seen with mtime 1733935670.111035
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/sqlparse/exceptions.py first seen with mtime 1737622063.7480583
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/db/models/functions/datetime.py first seen with mtime 1741546736.8297904
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/site-packages/django/urls/exceptions.py first seen with mtime 1741546736.8438401
DEBUG 2025-03-10 11:29:29,946 autoreload File /Users/aruka/miniconda3/lib/python3.12/numbers.py first seen with mtime 1733935668.607925
